Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
109.155	16:59:36.390	43.462229950	1.272889989	0.286565	119	0.414062
109.405	16:59:36.640	43.462229950	1.272889989	0.293734	119	0.394531
109.655	16:59:36.890	43.462229950	1.272889989	0.294417	119	0.371094
109.905	16:59:37.140	43.462229950	1.272889989	0.279084	119	0.390625
110.155	16:59:37.390	43.462229950	1.272889989	0.266654	119	0.449219
110.405	16:59:37.640	43.462229950	1.272889989	0.263655	119	0.480469
110.655	16:59:37.890	43.462229950	1.272889989	0.323548	119	0.425781
110.905	16:59:38.140	43.462229950	1.272889989	0.306139	119	0.367188
111.155	16:59:38.390	43.462229950	1.272889989	0.306139	119	0.40625
111.405	16:59:38.640	43.462229950	1.272889989	0.264861	119	0.453125
111.655	16:59:38.890	43.462229950	1.272889989	0.287174	119	0.453125
111.905	16:59:39.140	43.462229950	1.272889989	0.3021	119	0.449219
112.155	16:59:39.390	43.462229950	1.272889989	0.295849	119	0.425781
112.405	16:59:39.640	43.462229950	1.272889989	0.295123	119	0.421875
112.655	16:59:39.890	43.462229950	1.272889989	0.282852	119	0.4375
112.905	16:59:40.140	43.462229950	1.272889989	0.284219	119	0.445312
113.155	16:59:40.390	43.462229950	1.272889989	0.288432	119	0.453125
113.405	16:59:40.640	43.462229950	1.272889989	0.290589	119	0.449219
113.655	16:59:40.890	43.462229950	1.272889989	0.294844	119	0.425781
113.905	16:59:41.140	43.462229950	1.272889989	0.282527	119	0.441406
114.155	16:59:41.390	43.462229950	1.272889989	0.286021	119	0.449219
114.405	16:59:41.640	43.462229950	1.272889989	0.292005	119	0.449219
114.655	16:59:41.890	43.462229950	1.272889989	0.297913	119	0.4375
114.905	16:59:42.140	43.462229950	1.272889989	0.293698	119	0.4375
115.155	16:59:42.390	43.462229950	1.272889989	0.297076	119	0.433594
115.405	16:59:42.640	43.462229950	1.272889989	0.293571	119	0.445312
115.655	16:59:42.890	43.462229950	1.272889989	0.296765	119	0.445312
115.905	16:59:43.140	43.462229950	1.272889989	0.277677	119	0.472656
116.155	16:59:43.390	43.462229950	1.272889989	0.279115	119	0.5
116.405	16:59:43.640	43.462229950	1.272889989	0.308377	119	0.476562
116.655	16:59:43.890	43.462229950	1.272889989	0.302165	119	0.441406
116.905	16:59:44.140	43.462229950	1.272889989	0.280992	119	0.460938
117.155	16:59:44.390	43.462229950	1.272889989	0.283191	119	0.488281
117.405	16:59:44.640	43.462229950	1.272889989	0.30293	119	0.5
117.655	16:59:44.890	43.462229950	1.272889989	0.305457	119	0.472656
117.905	16:59:45.140	43.462229950	1.272889989	0.31283	119	0.449219
118.155	16:59:45.390	43.462229950	1.272889989	0.302554	119	0.445312
118.405	16:59:45.640	43.462229950	1.272889989	0.297283	119	0.449219
118.655	16:59:45.890	43.462229950	1.272889989	0.294404	119	0.46875
118.905	16:59:46.140	43.462229950	1.272889989	0.294652	119	0.476562
119.155	16:59:46.390	43.462229950	1.272889989	0.297519	118	0.472656
119.405	16:59:46.640	43.462229950	1.272889989	0.308412	118	0.472656
119.655	16:59:46.890	43.462229950	1.272889989	0.304455	118	0.464844
119.905	16:59:47.140	43.462229950	1.272889989	0.299292	118	0.46875
120.155	16:59:47.390	43.462229950	1.272889989	0.300553	118	0.460938
120.405	16:59:47.640	43.462229950	1.272889989	0.260951	118	0.488281
120.655	16:59:47.890	43.462229950	1.272889989	0.452146	118	0.359375
120.905	16:59:48.140	43.462229950	1.272889989	0.2	118	0.472656
121.155	16:59:48.390	43.462229950	1.272889989	0.315689	121	0.234375
121.405	16:59:48.640	43.462229950	1.272889989	0.356893	121	0.199219
121.655	16:59:48.890	43.462229950	1.272889989	0.356893	121	0.199219
121.905	16:59:49.140	43.462229950	1.272889989	0.310179	121	0.199219
